min_user_reviews,min_anime_reviews,lambda,rmse
3,3,1.0,1.8824059485697093
3,3,5.0,1.8304634515475808
3,3,10.0,1.8514380489798155
3,3,15.0,1.872659497138955
3,3,30.0,1.8902844332148065
3,3,50.0,1.9062555145144475
