min_user_reviews,min_anime_reviews,lambda,rmse
0,0,1.0,1.917939639350435
0,0,5.0,1.847269824523513
0,0,10.0,1.862515223543821
0,0,15.0,1.8802507240798367
0,0,30.0,1.9009658149799908
0,0,50.0,1.9184467312247797
