min_user_reviews,min_anime_reviews,lambda,rmse
0,50,1.0,1.8989363296046113
0,50,5.0,1.8271857994232965
0,50,10.0,1.8384413084554325
0,50,15.0,1.849759163119295
0,50,30.0,1.8495132876251554
0,50,50.0,1.8584780329367947
