min_user_reviews,min_anime_reviews,lambda,rmse
50,50,1.0,1.6989234401462456
50,50,5.0,1.6684034586637613
50,50,10.0,1.67759062893302
50,50,15.0,1.68884198795367
50,50,30.0,1.6696476532469995
50,50,50.0,1.6834081659381475
