,uid,anime_uid,score
322,305437,38145,7
323,307262,38145,7
324,308117,38145,8
325,308797,38145,6
326,310617,38145,9
327,315156,38145,10
328,318686,38145,9
329,319743,38145,7
330,323221,38145,8
331,304504,38145,9
332,304756,38145,8
333,305417,38145,9
334,306832,38145,7
335,322762,38145,10
336,304488,38145,10
337,305096,38145,7
338,306767,38145,10
339,214165,31637,7
340,227788,31637,6
341,246299,31637,5
342,247109,31637,10
343,252284,31637,8
344,263309,31637,8
345,272656,31637,7
346,214396,31637,6
347,227207,31637,5
348,226575,31637,6
349,281659,31637,9
350,241856,31637,8
351,309675,31637,10
352,311074,31637,9
353,216742,31637,6
354,214166,31637,9
355,248688,31637,4
356,214104,31637,6
357,301322,5680,10
358,302679,5680,7
359,85431,5680,4
360,14554,5680,8
361,16033,5680,7
362,313001,5680,10
363,278183,5680,4
364,25339,5680,7
365,203682,5680,9
366,67337,5680,10
367,13811,5680,8
368,305324,5680,9
369,21164,5680,7
370,185416,5680,2
371,15664,5680,10
372,89991,5680,5
373,236829,5680,5
374,16183,5680,7
375,314370,5680,3
376,294868,36214,9
377,296329,36214,10
378,297255,36214,8
379,289056,36214,8
380,292286,36214,9
381,283829,36214,10
382,288987,36214,5
383,291967,36214,9
384,294901,36214,8
385,284471,36214,4
386,294752,36214,10
387,282758,36214,10
388,282903,36214,6
389,284389,36214,8
390,282122,36214,10
391,282656,36214,2
392,281762,36214,10
393,281596,36214,10
394,298613,34944,6
395,309276,34944,10
396,313435,34944,8
397,315592,34944,8
398,280380,34944,10
399,287955,34944,8
400,288432,34944,10
401,292338,34944,3
402,292843,34944,4
403,301340,34944,9
404,306157,34944,8
405,288044,34944,8
406,289802,34944,7
407,276134,34944,9
408,279924,34944,7
409,275844,34944,8
410,283852,34944,3
411,181645,1689,4
412,204255,1689,7
413,181985,1689,9
414,226878,1689,5
415,142627,1689,3
416,187298,1689,9
417,112659,1689,3
418,23726,1689,10
419,126253,1689,9
420,1663,1689,10
421,94971,1689,9
422,1052,1689,9
423,10322,1689,8
424,615,1689,8
425,41031,1689,6
426,7341,1689,4
427,29867,1689,7
428,3980,1689,6
429,152561,1689,7
430,7905,1689,10
431,138783,552,9
432,194053,552,4
433,176719,552,7
434,296125,552,9
435,169863,552,10
436,42505,552,9
437,4185,552,7
438,190469,552,10
439,41843,552,9
440,135901,552,7
441,53281,552,10
442,42479,552,9
443,138787,552,7
444,29372,552,10
445,314333,552,9
446,178085,552,8
447,97781,552,10
448,26861,552,8
449,14684,552,8
450,182070,552,9
451,308415,38145,7
452,313751,38145,8
453,301635,38145,9
454,303232,38145,8
455,304543,38145,9
456,310290,38145,10
457,304473,38145,9
458,300461,38145,9
459,304479,38145,8
460,304495,38145,10
461,304503,38145,8
462,303760,38145,3
463,300507,38145,8
464,300502,38145,8
465,304476,38145,8
466,304498,38145,8
467,300395,38145,9
468,304496,38145,10
469,300393,38145,8
470,304475,38145,10
471,214180,31637,6
472,223219,31637,8
473,219020,31637,4
474,302746,31637,8
475,220700,31637,9
476,320933,31637,10
477,216255,31637,8
478,215506,31637,4
479,217789,31637,4
480,214987,31637,8
481,303831,31637,9
482,215295,31637,10
483,216563,31637,4
484,214063,31637,7
485,218190,31637,3
486,220549,31637,2
487,214541,31637,8
488,216057,31637,8
489,214058,31637,8
490,214154,31637,2
491,316500,5680,9
492,55079,5680,8
493,14695,5680,10
494,194313,5680,2
495,16041,5680,9
496,181455,5680,7
497,299910,5680,9
498,15125,5680,9
499,48733,5680,7
500,20591,5680,6
501,31761,5680,5
502,33895,5680,4
503,15535,5680,9
504,186811,5680,3
505,13806,5680,9
506,178837,5680,6
507,16123,5680,7
508,15186,5680,10
509,69553,5680,5
510,21816,5680,6
511,322540,27633,9
512,236200,27633,7
513,313410,27633,8
514,222232,27633,8
515,192617,27633,7
516,180324,27633,10
517,320191,36369,5
518,320252,36369,8
519,284474,33280,8
520,216548,451,9
521,263116,33280,6
522,147171,451,8
523,319941,451,7
524,17703,451,9
525,21105,451,9
526,38576,451,10
527,191046,451,9
528,15450,451,9
529,54475,5680,8
530,14076,5680,7
531,90777,5680,9
532,64521,5680,1
533,18948,5680,6
534,136303,5680,10
535,17522,5680,1
536,180833,5680,6
537,14481,5680,2
538,46685,5680,2
539,39457,5680,3
540,14484,5680,9
541,27796,5680,9
542,16018,5680,9
543,31147,5680,5
544,15750,5680,8
545,16235,5680,8
546,22081,5680,2
547,15897,5680,6
548,110759,5680,9
549,305831,6862,7
550,178928,6862,9
551,24948,6862,8
552,88461,6862,7
553,259062,35363,8
554,259016,35363,2
555,258858,35363,8
556,258769,35363,9
557,311067,32863,7
558,144651,11001,10
559,205836,322,9
560,26401,322,7
561,28691,322,9
562,88927,322,8
563,114873,322,9
564,319236,38958,7
565,281581,4472,9
566,288797,7645,9
567,153281,7645,8
568,35221,97,6
569,200344,468,6
570,197177,468,7
571,265532,468,9
572,198609,468,7
573,316221,468,8
574,270334,468,6
575,246029,468,4
576,170309,468,9
577,211018,468,9
578,68473,468,10
579,54771,322,8
580,25842,322,9
581,58493,322,8
582,8333,322,10
583,79092,322,10
584,101515,322,9
585,26876,322,10
586,29768,322,10
587,52765,322,10
588,70995,322,7
589,73931,322,9
590,199124,322,7
591,110683,322,8
592,77463,322,10
593,73817,322,7
594,24718,322,9
595,13182,322,10
596,19147,322,8
597,249374,322,4
598,62313,322,6
599,112133,97,5
600,94151,97,10
601,207739,97,9
602,232724,97,9
603,27319,97,10
604,281676,97,8
605,32139,97,5
606,205040,97,8
607,217401,97,9
608,325395,97,6
609,180165,97,6
610,48039,97,8
611,6943,97,9
612,7621,97,10
613,37696,97,8
614,31557,97,4
615,198247,97,9
616,84635,97,8
617,299995,97,8
618,288297,7645,7
619,178409,7645,10
620,25977,7645,8
621,38433,7645,5
622,216126,468,4
623,296775,468,6
624,247611,468,6
625,20267,468,7
626,90585,468,8
627,60595,468,10
628,181832,468,9
629,42223,468,9
630,30047,468,10
631,23224,468,6
632,187804,468,9
633,132597,468,1
634,99335,468,8
635,287356,468,3
636,262205,468,6
637,100185,468,9
638,1750,468,9
639,152785,468,7
640,42755,468,3
641,8875,468,9
642,220061,322,9
643,230520,322,7
644,4375,322,7
645,66121,322,9
646,21907,322,10
647,21503,322,10
648,225978,322,7
649,287339,322,6
650,291401,322,8
651,255537,322,5
652,220588,322,6
653,211069,322,10
654,237063,322,8
655,240445,322,6
656,268764,322,9
657,235045,322,5
658,191255,322,7
659,324964,39940,9
660,325098,39940,3
661,325320,39940,6
662,324369,39940,9
663,24216,97,10
664,284711,97,6
665,247092,97,10
666,11343,97,9
667,286916,97,5
668,71977,322,8
669,135069,322,6
670,23300,322,10
671,18172,97,6
672,88657,97,6
673,78623,97,10
674,23511,97,9
675,30952,97,10
676,34740,97,5
677,123585,97,9
678,1441,97,8
679,5148,97,7
680,42289,97,7
681,46505,97,7
682,219322,97,9
683,207,97,7
684,29554,97,8
685,81820,4472,4
686,1997,97,8
687,14026,4472,8
688,317510,4472,10
689,31995,4472,7
690,317546,4472,9
691,169341,4472,4
692,14754,4472,9
693,58481,4472,10
694,8428,4472,6
695,8476,4472,8
696,31539,4472,6
697,11455,4472,9
698,8199,4472,9
699,298417,38958,10
700,297796,38958,10
701,297917,38958,9
702,297870,38958,10
703,297731,38958,10
704,228986,322,7
705,190332,322,10
706,55177,322,7
707,9762,322,10
708,161131,322,8
709,9712,322,6
710,206423,322,7
711,128467,322,8
712,34895,322,7
713,17621,322,9
714,593,322,8
715,920,322,7
716,130073,322,10
717,613,322,8
718,5874,322,9
719,322099,39940,3
720,322869,39940,8
721,323928,39940,4
722,325406,39940,5
723,324326,39940,9
724,325386,39940,5
725,321852,39940,8
726,322288,39940,5
727,324966,39940,5
728,324678,39940,6
729,322269,39940,10
730,322301,39940,9
731,324942,39940,8
732,324956,39940,9
733,324957,39940,5
734,321142,39940,6
735,324952,39940,5
736,321455,39940,3
737,321163,39940,5
738,87129,11001,10
739,87209,11001,8
740,321214,39940,9
741,80304,4181,10
742,146039,4181,9
743,26459,4181,8
744,26452,4181,8
745,59177,4181,10
746,217685,19319,9
747,290807,19319,7
748,138971,19319,8
749,56255,1571,9
750,322302,38770,8
751,320921,38770,6
752,309363,38770,10
753,150083,5005,8
754,205329,18397,6
755,155371,1571,8
756,8682,1571,9
757,38470,1571,9
758,10814,269,9
759,22179,269,7
760,303893,269,5
761,34714,269,4
762,290867,202,10
763,240636,1571,9
764,263230,1571,9
765,264045,1571,9
766,166021,269,7
767,185164,269,5
768,230900,202,6
769,2018,202,10
770,221453,1571,10
771,80000,1571,9
772,20555,269,3
773,62447,269,7
774,24458,269,5
775,314305,269,5
776,57035,202,10
777,33413,202,9
778,79760,1571,8
779,101677,1571,10
780,321757,1571,4
781,86505,1571,9
782,45285,1571,8
783,22736,1571,9
784,81396,1571,10
785,192763,1571,6
786,103173,1571,9
787,34046,1571,10
788,260401,1571,9
789,20015,1571,9
790,40131,1571,8
791,33336,1571,8
792,27302,1571,10
793,207634,1571,6
794,34343,1571,8
795,31377,1571,10
796,217468,1571,6
797,108331,1571,8
798,91517,202,10
799,2532,202,10
800,4926,202,10
801,2716,202,10
802,249510,202,7
803,262216,202,9
804,252892,202,10
805,209184,202,9
806,126489,202,9
807,69877,202,9
808,213015,202,7
809,60353,202,9
810,51533,202,6
811,100865,202,10
812,28457,202,10
813,218535,202,8
814,219331,202,8
815,16829,202,9
816,322042,269,3
817,139689,269,8
818,7855,269,10
819,6054,269,9
820,179671,269,3
821,194908,269,10
822,9897,269,9
823,12351,269,10
824,194043,269,5
825,18382,269,6
826,10253,269,9
827,52595,269,7
828,186988,269,1
829,124005,269,3
830,8837,269,9
831,181641,269,6
832,140515,1571,9
833,246163,1571,8
834,251350,1571,10
835,254233,1571,8
836,86659,1571,9
837,71463,1571,6
838,146905,1571,10
839,183840,1571,10
840,55923,1571,9
841,59149,1571,8
