,anime_id,genre
137,23225,"comedy, shoujo ai, slice of life"
138,17909,"slice of life, comedy, demons, drama, fantasy"
139,10521,"comedy, romance, seinen, slice of life"
140,22319,"action, mystery, horror, psychological, supernatural, drama, seinen"
141,400,"action, sci-fi, adventure, space, comedy"
142,9088,"action, adventure, drama, fantasy"
143,33190,"sci-fi, drama"
144,20,"action, adventure, comedy, super power, martial arts, shounen"
145,33221,"action, military, sci-fi, space, drama, mecha"
146,22097,"action, adventure, fantasy, magic, shounen"
147,3014,"action, military, sci-fi, space"
148,2890,"adventure, fantasy"
149,6702,"action, adventure, comedy, magic, fantasy, shounen"
150,2035,"slice of life, romance, historical, drama, seinen"
151,6351,"drama, romance, school"
152,6377,"comedy, parody, school, shounen"
153,1485,"comedy, drama, shoujo"
154,4163,"comedy, parody, romance, school, shounen"
155,2143,"action, adventure, drama, fantasy, shoujo"
156,6007,"adventure, fantasy, historical, romance"
157,25517,"adventure, comedy, romance, shounen"
158,27947,"action, adventure, comedy, mystery, seinen"
159,1695,"slice of life, historical, drama, shoujo"
160,187,"action, cars, sports, drama, romance, seinen"
161,14175,"slice of life, comedy, drama"
162,24471,"comedy, demons, supernatural, fantasy, seinen"
163,35110,"comedy, drama, school, shounen, sports"
164,35120,"action, dementia, demons, horror, supernatural"
165,779,"adventure, mystery, comedy, police, shounen"
166,10012,"comedy, parody, supernatural"
167,2605,"comedy, parody, school, shounen"
168,31973,"action, military, sci-fi, space, drama, mecha"
169,4985,"action, magic, comedy, sci-fi, drama"
170,3572,"action, space, mecha, romance, military, music, sci-fi"
171,4280,"action, mystery, supernatural, thriller"
172,429,"comedy, drama, shoujo"
173,5781,"action, comedy, ecchi, fantasy, harem, mecha, school"
174,10029,"historical, romance, school, shoujo"
175,38250,"game, sci-fi, slice of life, comedy, drama, magic, school, shounen ai"
176,16916,"sports, comedy, school, shounen"
177,7062,"slice of life, comedy, school, seinen"
178,2623,"drama, historical"
179,790,"psychological, mystery, sci-fi"
180,8408,"action, comedy, supernatural"
181,780,"adventure, mystery, comedy, police, shounen"
182,24921,"action, sci-fi, seinen"
183,658,"game, psychological, thriller, seinen"
184,2158,"action, drama, military, sci-fi, space"
185,22,"action, comedy, sports, school, shounen"
186,9926,"comedy, drama, romance, shounen ai"
187,26123,"slice of life, comedy, school, shounen"
188,30745,music
189,13767,"comedy, drama, romance, shounen ai"
190,2762,"action, adventure, comedy, romance, school, shounen"
191,33899,music
192,967,"action, drama, martial arts, sci-fi, shounen"
193,30415,"comedy, drama, school, slice of life, sports"
194,11239,"slice of life, comedy, school, seinen"
195,22043,"action, adventure, comedy, fantasy, magic, shounen"
196,6505,"comedy, romance"
197,32093,"slice of life, comedy, school"
198,6582,"comedy, parody, seinen, super power"
199,114,"comedy, school, shounen"
200,85,"military, sci-fi, space, drama, romance, mecha"
201,25649,"comedy, drama, romance, shounen ai"
202,996,"adventure, comedy, drama, fantasy, magic, romance, shoujo"
203,6586,"kids, school, shoujo"
204,3588,"action, fantasy, comedy, supernatural, shounen"
205,12815,"slice of life, comedy, josei"
206,24,"comedy, romance, school, shounen"
207,17549,"comedy, school, seinen, slice of life"
208,18429,"action, comedy, mystery, shounen"
209,34451,"action, comedy, fantasy, shounen, super power, supernatural, vampire"
210,13331,"action, adventure, seinen"
211,9289,"slice of life, comedy, drama"
212,36370,"action, drama, military, sci-fi, space"
213,3371,"action, military, sci-fi, space"
214,22961,"slice of life, romance"
215,1470,"action, comedy, mystery, shounen"
216,39565,"action, comedy, super power, school, shounen"
217,9513,"action, comedy, demons, supernatural, school, shounen"
218,28,"comedy, shounen"
219,38917,"comedy, historical, drama, romance"
220,793,"mystery, comedy, psychological, supernatural, drama"
221,9941,"action, mystery, comedy, super power"
222,11813,"action, martial arts, comedy, school, shounen"
223,27775,"sci-fi, drama, romance"
224,40179,"action, fantasy"
225,7222,"action, mecha, military, music, romance, sci-fi, space"
226,1088,"action, mecha, military, music, romance, sci-fi, space"
227,35857,"action, adventure, mystery, comedy, seinen"
228,387,"slice of life, mystery, psychological, drama, fantasy"
229,1594,"mystery, horror, psychological, supernatural"
230,2924,"mystery, drama, romance"
231,35320,"fantasy, romance, shoujo"
232,12113,"action, adventure, demons, drama, fantasy, horror, military, seinen, supernatural"
233,34375,"drama, fantasy, magic, slice of life"
234,30279,"comedy, school, shoujo ai, slice of life"
235,37786,"romance, school, shoujo ai"
236,31098,"action, adventure, comedy, demons, supernatural, shounen"
237,2618,"adventure, mystery, historical, drama"
238,20815,"romance, comedy, shounen ai"
239,957,"adventure, fantasy, comedy, romance, historical, drama"
240,2159,"comedy, seinen, sports"
241,36215,"action, adventure, comedy, super power, drama, fantasy, shounen"
242,25161,"adventure, comedy, fantasy, shounen"
243,10721,"mystery, comedy, dementia, psychological, drama"
244,36563,"action, sci-fi, slice of life, sports, drama"
245,6774,"comedy, psychological, drama, seinen"
246,427,"comedy, sports, drama, fantasy, shoujo"
247,2829,"adventure, slice of life, historical, drama"
248,29093,drama
249,10643,"action, comedy, parody, samurai"
250,31339,"action, adventure, comedy, historical, samurai, fantasy, seinen"
